Receipt_ID,Creation_Date,Created_By,Product_ID,Item_Name,Kitchen_Name,Status,Tax_Exclusive_Price,Tax_Inclusive_Price,Amount,Tax_Percentage,Tax_Amount,Total_Price,Total_Tax_Excl_Price,Category,Category_Type,Seat_Number,Course_Number,PLU,Extra
R000001.01,2026-03-01 12:12:00,James L.,P-8004,Wagyu Steak & Eggs,WAG-EGG,Sent,32.00,33.60,1,5.0,1.60,33.60,32.00,Brunch,Food,1,1,8004,
R000001.01,2026-03-01 12:12:00,James L.,P-8005,Mimosa,MIMOSA,Sent,12.00,13.80,1,15.0,1.80,13.80,12.00,Brunch,Beverage,2,1,8005,
R000001.01,2026-03-01 12:17:00,James L.,P-7003,Espresso,ESPRES,Sent,5.00,5.25,1,5.0,0.25,5.25,5.00,Non-Alcoholic,Beverage,1,1,7003,
R000001.01,2026-03-01 12:14:00,James L.,P-1004,Dungeness Crab Cake,CRAB-CK,Sent,21.00,22.05,1,5.0,1.05,22.05,21.00,Appetizers,Food,2,1,1004,
R000001.01,2026-03-01 12:12:00,James L.,P-8005,Mimosa,MIMOSA,Sent,12.00,13.80,1,15.0,1.80,13.80,12.00,Brunch,Beverage,1,1,8005,
R000001.01,2026-03-01 12:11:00,James L.,P-7004,Matcha Latte,MTCH-LAT,Sent,8.00,8.40,1,5.0,0.40,8.40,8.00,Non-Alcoholic,Beverage,2,1,7004,
R000002.01,2026-03-01 13:14:00,Mika T.,P-8002,Japanese Souffle Pancakes,SOUF-PAN,Sent,22.00,23.10,1,5.0,1.10,23.10,22.00,Brunch,Food,1,1,8002,
R000002.01,2026-03-01 13:10:00,Mika T.,P-8005,Mimosa,MIMOSA,Sent,12.00,13.80,1,15.0,1.80,13.80,12.00,Brunch,Beverage,2,1,8005,
R000002.01,2026-03-01 13:05:00,Mika T.,P-8002,Japanese Souffle Pancakes,SOUF-PAN,Sent,22.00,23.10,1,5.0,1.10,23.10,22.00,Brunch,Food,1,1,8002,
R000002.01,2026-03-01 13:15:00,Mika T.,P-8001,Eggs Benedict (Salmon),BENE-SAL,Sent,24.00,25.20,1,5.0,1.20,25.20,24.00,Brunch,Food,2,1,8001,
R000002.01,2026-03-01 13:07:00,Mika T.,P-7002,Fresh Juice (Seasonal),JUICE,Sent,8.00,8.40,1,5.0,0.40,8.40,8.00,Non-Alcoholic,Beverage,1,1,7002,
R000002.01,2026-03-01 13:14:00,Mika T.,P-8005,Mimosa,MIMOSA,Sent,12.00,13.80,1,15.0,1.80,13.80,12.00,Brunch,Beverage,2,1,8005,
R000002.01,2026-03-01 13:12:00,Mika T.,P-7003,Espresso,ESPRES,Sent,5.00,5.25,1,5.0,0.25,5.25,5.00,Non-Alcoholic,Beverage,1,1,7003,
R000003.01,2026-03-01 12:43:00,Sarah M.,P-8003,Avocado Toast & Poached Eggs,AVO-TST,Sent,20.00,21.00,1,5.0,1.00,21.00,20.00,Brunch,Food,1,1,8003,
R000003.01,2026-03-01 12:41:00,Sarah M.,P-8004,Wagyu Steak & Eggs,WAG-EGG,Sent,32.00,33.60,1,5.0,1.60,33.60,32.00,Brunch,Food,2,1,8004,
R000004.01,2026-03-01 13:19:00,Sarah M.,P-8005,Mimosa,MIMOSA,Sent,12.00,13.80,1,15.0,1.80,13.80,12.00,Brunch,Beverage,1,1,8005,
R000004.01,2026-03-01 13:11:00,Sarah M.,P-8005,Mimosa,MIMOSA,Sent,12.00,13.80,1,15.0,1.80,13.80,12.00,Brunch,Beverage,2,1,8005,
R000004.01,2026-03-01 13:14:00,Sarah M.,P-8002,Japanese Souffle Pancakes,SOUF-PAN,Sent,22.00,23.10,1,5.0,1.10,23.10,22.00,Brunch,Food,3,1,8002,
R000004.01,2026-03-01 13:15:00,Sarah M.,P-8004,Wagyu Steak & Eggs,WAG-EGG,Sent,32.00,33.60,1,5.0,1.60,33.60,32.00,Brunch,Food,1,1,8004,
R000004.01,2026-03-01 13:12:00,Sarah M.,P-8005,Mimosa,MIMOSA,Sent,12.00,13.80,1,15.0,1.80,13.80,12.00,Brunch,Beverage,2,1,8005,
R000004.01,2026-03-01 13:21:00,Sarah M.,P-7004,Matcha Latte,MTCH-LAT,Sent,7.00,7.35,1,5.0,0.35,7.35,7.00,Non-Alcoholic,Beverage,3,1,7004,
R000004.01,2026-03-01 13:11:00,Sarah M.,P-8001,Eggs Benedict (Salmon),BENE-SAL,Sent,28.00,29.40,1,5.0,1.40,29.40,28.00,Brunch,Food,1,1,8001,
R000004.01,2026-03-01 13:20:00,Sarah M.,P-7001,Sparkling Water,SPARK-W,Sent,5.00,5.25,1,5.0,0.25,5.25,5.00,Non-Alcoholic,Beverage,2,1,7001,
R000005.01,2026-03-01 13:14:00,Mika T.,P-1003,Roasted Beet Salad,BEET-SAL,Sent,17.00,17.85,1,5.0,0.85,17.85,17.00,Appetizers,Food,1,1,1003,
R000005.01,2026-03-01 13:22:00,Mika T.,P-8001,Eggs Benedict (Salmon),BENE-SAL,Sent,24.00,25.20,1,5.0,1.20,25.20,24.00,Brunch,Food,2,1,8001,
R000005.01,2026-03-01 13:18:00,Mika T.,P-7004,Matcha Latte,MTCH-LAT,Sent,7.00,7.35,1,5.0,0.35,7.35,7.00,Non-Alcoholic,Beverage,1,1,7004,
R000005.01,2026-03-01 13:20:00,Mika T.,P-1005,Miso Glazed Eggplant,MISO-EGG,Sent,16.00,16.80,1,5.0,0.80,16.80,16.00,Appetizers,Food,2,1,1005,
R000005.01,2026-03-01 13:18:00,Mika T.,P-8003,Avocado Toast & Poached Eggs,AVO-TST,Sent,20.00,21.00,1,5.0,1.00,21.00,20.00,Brunch,Food,1,1,8003,
R000005.01,2026-03-01 13:23:00,Mika T.,P-7004,Matcha Latte,MTCH-LAT,Sent,7.00,7.35,1,5.0,0.35,7.35,7.00,Non-Alcoholic,Beverage,2,1,7004,
R000005.01,2026-03-01 13:18:00,Mika T.,P-7002,Fresh Juice (Seasonal),JUICE,Sent,8.00,8.40,1,5.0,0.40,8.40,8.00,Non-Alcoholic,Beverage,1,1,7002,
R000006.01,2026-03-01 12:32:00,Mika T.,P-1005,Miso Glazed Eggplant,MISO-EGG,Sent,16.00,16.80,1,5.0,0.80,16.80,16.00,Appetizers,Food,1,1,1005,
R000006.01,2026-03-01 12:36:00,Mika T.,P-8001,Eggs Benedict (Salmon),BENE-SAL,Sent,24.00,25.20,1,5.0,1.20,25.20,24.00,Brunch,Food,2,1,8001,
R000006.01,2026-03-01 12:35:00,Mika T.,P-1001,Tuna Tartare,TUNA-TART,Sent,22.00,23.10,1,5.0,1.10,23.10,22.00,Appetizers,Food,1,1,1001,
R000006.01,2026-03-01 12:27:00,Mika T.,P-8003,Avocado Toast & Poached Eggs,AVO-TST,Sent,20.00,21.00,1,5.0,1.00,21.00,20.00,Brunch,Food,2,1,8003,
R000007.01,2026-03-01 13:15:00,Olivia C.,P-8001,Eggs Benedict (Salmon),BENE-SAL,Sent,24.00,25.20,1,5.0,1.20,25.20,24.00,Brunch,Food,1,1,8001,
R000007.01,2026-03-01 13:11:00,Olivia C.,P-8002,Japanese Souffle Pancakes,SOUF-PAN,Sent,22.00,23.10,1,5.0,1.10,23.10,22.00,Brunch,Food,2,1,8002,
R000007.01,2026-03-01 13:15:00,Olivia C.,P-7004,Matcha Latte,MTCH-LAT,Sent,7.00,7.35,1,5.0,0.35,7.35,7.00,Non-Alcoholic,Beverage,1,1,7004,
R000007.01,2026-03-01 13:19:00,Olivia C.,P-7002,Fresh Juice (Seasonal),JUICE,Sent,8.00,8.40,1,5.0,0.40,8.40,8.00,Non-Alcoholic,Beverage,2,1,7002,
R000007.01,2026-03-01 13:12:00,Olivia C.,P-8005,Mimosa,MIMOSA,Sent,12.00,13.80,1,15.0,1.80,13.80,12.00,Brunch,Beverage,1,1,8005,
R000008.01,2026-03-01 12:14:00,Olivia C.,P-1007,Tempura Spot Prawns,TEMP-PRW,Sent,23.00,24.15,1,5.0,1.15,24.15,23.00,Appetizers,Food,1,1,1007,
R000008.01,2026-03-01 12:18:00,Olivia C.,P-8001,Eggs Benedict (Salmon),BENE-SAL,Sent,24.00,25.20,1,5.0,1.20,25.20,24.00,Brunch,Food,2,1,8001,
R000008.01,2026-03-01 12:20:00,Olivia C.,P-7004,Matcha Latte,MTCH-LAT,Sent,7.00,7.35,1,5.0,0.35,7.35,7.00,Non-Alcoholic,Beverage,1,1,7004,
R000009.01,2026-03-01 13:28:00,James L.,P-8004,Wagyu Steak & Eggs,WAG-EGG,Sent,36.00,37.80,1,5.0,1.80,37.80,36.00,Brunch,Food,1,1,8004,
R000009.01,2026-03-01 13:38:00,James L.,P-8001,Eggs Benedict (Salmon),BENE-SAL,Sent,24.00,25.20,1,5.0,1.20,25.20,24.00,Brunch,Food,2,1,8001,
R000009.01,2026-03-01 13:31:00,James L.,P-1004,Dungeness Crab Cake,CRAB-CK,Sent,21.00,22.05,1,5.0,1.05,22.05,21.00,Appetizers,Food,3,1,1004,
