receipt_id,item_name,product_id,product_plu,product_name,mod_id,mod_plu,mod_name,mod_desc,mod_price_incl,mod_price_excl
R000001.01,Matcha Latte,P-7004,7004,Matcha Latte,M-108,108,Sub Oat Milk,Oat milk substitute,1.05,1.0
R000004.01,Eggs Benedict (Salmon),P-8001,8001,Eggs Benedict (Salmon),M-106,106,Add Avocado,Half avocado,4.2,4.0
R000005.01,Miso Glazed Eggplant,P-1005,1005,Miso Glazed Eggplant,M-107,107,Spice Level: Hot,Extra spice,0.0,0.0
R000009.01,Wagyu Steak & Eggs,P-8004,8004,Wagyu Steak & Eggs,M-106,106,Add Avocado,Half avocado,4.2,4.0
R000009.01,Eggs Benedict (Salmon),P-8001,8001,Eggs Benedict (Salmon),M-106,106,Add Avocado,Half avocado,4.2,4.0
R000009.01,Matcha Latte,P-7004,7004,Matcha Latte,M-108,108,Sub Oat Milk,Oat milk substitute,1.05,1.0
R000013.01,Matcha Latte,P-7004,7004,Matcha Latte,M-108,108,Sub Oat Milk,Oat milk substitute,1.05,1.0
R000023.01,Matcha Latte,P-7004,7004,Matcha Latte,M-108,108,Sub Oat Milk,Oat milk substitute,1.05,1.0
R000025.01,Matcha Latte,P-7004,7004,Matcha Latte,M-108,108,Sub Oat Milk,Oat milk substitute,1.05,1.0
R000026.01,Wagyu Steak & Eggs,P-8004,8004,Wagyu Steak & Eggs,M-106,106,Add Avocado,Half avocado,4.2,4.0
R000026.01,Matcha Latte,P-7004,7004,Matcha Latte,M-108,108,Sub Oat Milk,Oat milk substitute,1.05,1.0
R000029.01,Eggs Benedict (Salmon),P-8001,8001,Eggs Benedict (Salmon),M-106,106,Add Avocado,Half avocado,4.2,4.0
R000033.01,Wagyu Steak & Eggs,P-8004,8004,Wagyu Steak & Eggs,M-106,106,Add Avocado,Half avocado,4.2,4.0
R000043.01,Eggs Benedict (Salmon),P-8001,8001,Eggs Benedict (Salmon),M-106,106,Add Avocado,Half avocado,4.2,4.0
R000046.01,Eggs Benedict (Salmon),P-8001,8001,Eggs Benedict (Salmon),M-106,106,Add Avocado,Half avocado,4.2,4.0
R000049.01,Wagyu Steak & Eggs,P-8004,8004,Wagyu Steak & Eggs,M-106,106,Add Avocado,Half avocado,4.2,4.0
R000049.01,Matcha Latte,P-7004,7004,Matcha Latte,M-108,108,Sub Oat Milk,Oat milk substitute,1.05,1.0
R000051.01,Eggs Benedict (Salmon),P-8001,8001,Eggs Benedict (Salmon),M-106,106,Add Avocado,Half avocado,4.2,4.0
R000053.01,Wagyu Striploin 8oz,P-2002,2002,Wagyu Striploin 8oz,M-105,105,Extra Side Salad,House green salad,5.25,5.0
R000055.01,Miso-Braised Short Rib,P-2004,2004,Miso-Braised Short Rib,M-105,105,Extra Side Salad,House green salad,5.25,5.0
R000055.01,Wild Salmon Bowl,P-2003,2003,Wild Salmon Bowl,M-105,105,Extra Side Salad,House green salad,5.25,5.0
R000057.01,Pan-Seared Sablefish,P-2001,2001,Pan-Seared Sablefish,M-105,105,Extra Side Salad,House green salad,5.25,5.0
R000057.01,Seafood Linguine,P-2008,2008,Seafood Linguine,M-105,105,Extra Side Salad,House green salad,5.25,5.0
R000058.01,Seafood Linguine,P-2008,2008,Seafood Linguine,M-101,101,Extra Prawns,Add 4 tiger prawns,6.3,6.0
R000058.01,Wild Salmon Bowl,P-2003,2003,Wild Salmon Bowl,M-106,106,Add Avocado,Half avocado,4.2,4.0
R000058.01,Duck Breast & Soba,P-2005,2005,Duck Breast & Soba,M-105,105,Extra Side Salad,House green salad,5.25,5.0
R000059.01,Grilled Halibut,P-2006,2006,Grilled Halibut,M-105,105,Extra Side Salad,House green salad,5.25,5.0
R000061.01,Miso Glazed Eggplant,P-1005,1005,Miso Glazed Eggplant,M-107,107,Spice Level: Hot,Extra spice,0.0,0.0
R000063.01,Lamb Rack,P-2009,2009,Lamb Rack,M-105,105,Extra Side Salad,House green salad,5.25,5.0
R000066.01,Mushroom Risotto,P-2007,2007,Mushroom Risotto,M-102,102,Add Truffle Oil,Drizzle of truffle oil,4.2,4.0
R000069.01,Wagyu Striploin 8oz,P-2002,2002,Wagyu Striploin 8oz,M-105,105,Extra Side Salad,House green salad,5.25,5.0
R000069.01,Seafood Linguine,P-2008,2008,Seafood Linguine,M-101,101,Extra Prawns,Add 4 tiger prawns,6.3,6.0
R000069.01,Espresso,P-7003,7003,Espresso,M-108,108,Sub Oat Milk,Oat milk substitute,1.05,1.0
R000070.01,Mushroom Risotto,P-2007,2007,Mushroom Risotto,M-102,102,Add Truffle Oil,Drizzle of truffle oil,4.2,4.0
R000070.01,Mushroom Risotto,P-2007,2007,Mushroom Risotto,M-104,104,Gluten-Free,Substitute GF option,2.1,2.0
R000071.01,Grilled Halibut,P-2006,2006,Grilled Halibut,M-105,105,Extra Side Salad,House green salad,5.25,5.0
R000071.01,Mushroom Risotto,P-2007,2007,Mushroom Risotto,M-102,102,Add Truffle Oil,Drizzle of truffle oil,4.2,4.0
R000073.01,Wagyu Striploin 8oz,P-2002,2002,Wagyu Striploin 8oz,M-105,105,Extra Side Salad,House green salad,5.25,5.0
R000076.01,Seafood Linguine,P-2008,2008,Seafood Linguine,M-105,105,Extra Side Salad,House green salad,5.25,5.0
R000076.01,Teriyaki Chicken,P-2010,2010,Teriyaki Chicken,M-105,105,Extra Side Salad,House green salad,5.25,5.0
R000077.01,Seafood Linguine,P-2008,2008,Seafood Linguine,M-102,102,Add Truffle Oil,Drizzle of truffle oil,4.2,4.0
R000079.01,Miso-Braised Short Rib,P-2004,2004,Miso-Braised Short Rib,M-103,103,Upgrade to Wagyu,Wagyu beef upgrade,12.6,12.0
R000079.01,Miso-Braised Short Rib,P-2004,2004,Miso-Braised Short Rib,M-107,107,Spice Level: Hot,Extra spice,0.0,0.0
R000081.01,Wagyu Striploin 8oz,P-2002,2002,Wagyu Striploin 8oz,M-105,105,Extra Side Salad,House green salad,5.25,5.0
R000084.01,Seafood Linguine,P-2008,2008,Seafood Linguine,M-105,105,Extra Side Salad,House green salad,5.25,5.0
R000085.01,Pan-Seared Sablefish,P-2001,2001,Pan-Seared Sablefish,M-101,101,Extra Prawns,Add 4 tiger prawns,6.3,6.0
