Platform,Order_ID,Order_Date,Order_Status,Dining_Mode,Gross_Sales,Tax,GST,PST,Tip,Commission_Amount,Commission_Rate,Marketing_Fee,Promo_Cost_Restaurant,Promo_Cost_Platform,Service_Fee,Adjustments,Net_Payout,Payout_Date,Item_Count,Customer_Type,Prep_Time_Minutes,Delivery_Time_Minutes,Customer_Rating,POS_Transaction_ID
DoorDash,DD-00000001,2026-03-01 11:37:00,Completed,Delivery,123.00,14.76,6.15,8.61,3.00,-30.75,0.25,-1.50,-0.00,1.00,-0.97,0.00,105.54,2026-03-06,4,Returning,32.5,50.0,,
Uber Eats,UE-00000001,2026-03-01 12:28:00,Completed,Delivery,97.00,11.64,4.85,6.79,4.00,-29.10,0.30,-3.00,-0.00,0.00,-1.25,0.00,75.29,2026-03-06,5,New,32.0,34.5,3.0,
DoorDash,DD-00000002,2026-03-01 12:16:00,Completed,Delivery,97.00,11.64,4.85,6.79,4.00,-24.25,0.25,-3.00,-0.00,2.00,-1.36,0.00,82.03,2026-03-08,5,New,28.4,45.8,,
Uber Eats,UE-00000002,2026-03-01 12:59:00,Completed,Delivery,44.00,5.28,2.20,3.08,0.00,-13.20,0.30,-0.00,-2.00,0.00,-0.98,0.00,33.10,2026-03-04,3,New,33.7,40.4,5.0,
DoorDash,DD-00000003,2026-03-01 17:04:00,Completed,Delivery,101.00,12.12,5.05,7.07,2.00,-25.25,0.25,-3.00,-5.00,2.00,-0.99,0.00,80.88,2026-03-07,5,Returning,25.2,47.6,4.5,
DoorDash,DD-00000004,2026-03-01 18:57:00,Completed,Delivery,61.00,7.32,3.05,4.27,4.00,-15.25,0.25,-0.00,-0.00,0.00,-1.07,0.00,52.00,2026-03-07,4,Returning,12.0,20.0,5.0,
DoorDash,DD-00000005,2026-03-01 13:39:00,Completed,Delivery,91.00,10.92,4.55,6.37,3.00,-22.75,0.25,-0.00,-0.00,0.00,-0.64,0.00,78.53,2026-03-04,3,Returning,25.8,22.7,5.0,
Uber Eats,UE-00000003,2026-03-01 20:04:00,Completed,Delivery,143.00,17.16,7.15,10.01,6.00,-42.90,0.30,-3.00,-0.00,2.00,-1.43,0.00,114.83,2026-03-05,5,New,29.8,45.4,4.5,
Uber Eats,UE-00000004,2026-03-01 17:15:00,Completed,Delivery,123.00,14.76,6.15,8.61,3.00,-36.90,0.30,-0.00,-0.00,2.00,-1.20,0.00,101.66,2026-03-06,3,Returning,15.0,42.1,5.0,
DoorDash,DD-00000006,2026-03-01 13:50:00,Completed,Delivery,69.00,8.28,3.45,4.83,8.00,-17.25,0.25,-0.00,-2.00,0.00,-1.23,0.00,56.80,2026-03-04,3,New,15.4,48.4,5.0,
Uber Eats,UE-00000005,2026-03-01 19:35:00,Completed,Delivery,21.00,2.52,1.05,1.47,0.00,-6.30,0.30,-1.50,-3.00,2.00,-1.47,0.00,13.25,2026-03-07,2,Returning,17.5,33.6,5.0,
DoorDash,DD-00000007,2026-03-01 13:01:00,Completed,Delivery,72.00,8.64,3.60,5.04,2.00,-18.00,0.25,-0.00,-3.00,2.00,-0.62,0.00,61.02,2026-03-04,4,Returning,25.5,49.6,5.0,
Uber Eats,UE-00000006,2026-03-01 19:45:00,Completed,Delivery,133.00,15.96,6.65,9.31,5.00,-39.90,0.30,-2.00,-2.00,1.00,-0.99,0.00,105.07,2026-03-04,5,New,27.0,42.1,5.0,
DoorDash,DD-00000008,2026-03-01 14:34:00,Completed,Delivery,63.00,7.56,3.15,4.41,5.00,-15.75,0.25,-2.00,-0.00,0.00,-0.71,0.00,52.10,2026-03-08,2,New,12.8,49.4,4.5,
