Date,Transaction_ID,Event_Type,Location,Team_Member,Item_Name,Item_Variation,Category,Reporting_Category,SKU,GTIN,Quantity,Unit_Price,Gross_Sales,Discounts,Net_Sales,Tax,Modifiers,Modifier_Amount,Notes,Cost
2026-02-01 10:00:44,F052600BA48E40ECB7,Payment,Main Dining,Sarah M.,Eggs Benedict Pacific,Regular,Brunch,Food - Brunch,BRN-001,,1,24.00,26.00,0.00,26.00,3.12,Gluten-Free Pasta (+$2.00),2.00,,7.20
2026-02-01 10:00:44,F052600BA48E40ECB7,Payment,Main Dining,Sarah M.,Shakshuka,Regular,Brunch,Food - Brunch,BRN-004,,1,19.00,19.00,0.00,19.00,2.28,,0.00,,4.75
2026-02-01 10:00:44,F052600BA48E40ECB7,Payment,Main Dining,Sarah M.,Glass — Pinot Noir (BC),Regular,Drinks - Wine,Beverage - Wine,WN-003,,1,19.00,19.00,0.00,19.00,2.28,,0.00,,5.70
2026-02-01 10:02:58,850B0703635D4EBC81,Payment,Main Dining,Emma W.,Shakshuka,Regular,Brunch,Food - Brunch,BRN-004,,1,19.00,22.50,0.00,22.50,2.70,Add Avocado (+$3.50),3.50,,4.75
2026-02-01 10:02:58,850B0703635D4EBC81,Payment,Main Dining,Emma W.,Sparkling Water (750ml),Regular,Drinks - Non-Alc,Beverage - Non-Alc,NA-001,,1,8.00,8.00,0.00,8.00,0.96,,0.00,,1.60
2026-02-01 10:02:58,850B0703635D4EBC81,Payment,Main Dining,Emma W.,Smoked Salmon Toast,Regular,Brunch,Food - Brunch,BRN-002,,1,22.00,25.00,0.00,25.00,3.00,Add Truffle Oil (+$3.00),3.00,,7.70
2026-02-01 10:05:25,BD9D183D69324829A2,Payment,Main Dining,Sarah M.,Steak & Eggs,Regular,Brunch,Food - Brunch,BRN-005,,1,28.00,28.00,0.00,28.00,3.36,,0.00,,11.20
2026-02-01 10:05:25,BD9D183D69324829A2,Payment,Main Dining,Sarah M.,Bottle — House White,Regular,Drinks - Wine,Beverage - Wine,WN-005,,1,55.00,55.00,0.00,55.00,6.60,,0.00,,16.50
2026-02-01 10:05:25,BD9D183D69324829A2,Payment,Main Dining,Sarah M.,Eggs Benedict Pacific,Regular,Brunch,Food - Brunch,BRN-001,,1,24.00,25.00,0.00,25.00,3.00,Extra Sauce (+$1.00),1.00,,7.20
2026-02-01 10:05:25,BD9D183D69324829A2,Payment,Main Dining,Sarah M.,Sparkling Water (750ml),Regular,Drinks - Non-Alc,Beverage - Non-Alc,NA-001,,1,8.00,8.00,0.00,8.00,0.96,Sub Side Salad (+$0.00),0.00,,1.60
2026-02-01 10:05:25,BD9D183D69324829A2,Payment,Main Dining,Sarah M.,Brioche French Toast,Regular,Brunch,Food - Brunch,BRN-003,,1,20.00,20.00,0.00,20.00,2.40,,0.00,,5.00
2026-02-01 10:05:25,BD9D183D69324829A2,Payment,Main Dining,Sarah M.,Coastal Negroni,Regular,Drinks - Cocktails,Beverage - Cocktails,CK-002,,1,18.00,18.00,0.00,18.00,2.16,,0.00,,4.50
2026-02-01 10:08:06,8C967941DFD745E9BC,Payment,Main Dining,Emma W.,Shakshuka,Regular,Brunch,Food - Brunch,BRN-004,,1,19.00,19.00,0.00,19.00,2.28,,0.00,,4.75
2026-02-01 10:08:06,8C967941DFD745E9BC,Payment,Main Dining,Emma W.,Fresh Juice,Regular,Drinks - Non-Alc,Beverage - Non-Alc,NA-002,,1,7.00,7.00,0.00,7.00,0.84,,0.00,,1.75
2026-02-01 10:08:06,8C967941DFD745E9BC,Payment,Main Dining,Emma W.,Shakshuka,Regular,Brunch,Food - Brunch,BRN-004,,1,19.00,19.00,0.00,19.00,2.28,,0.00,,4.75
2026-02-01 10:08:06,8C967941DFD745E9BC,Payment,Main Dining,Emma W.,Coastal Negroni,Regular,Drinks - Cocktails,Beverage - Cocktails,CK-002,,1,18.00,18.00,0.00,18.00,2.16,,0.00,,4.50
2026-02-01 10:09:54,5B17B041F3E548248E,Payment,Main Dining,Priya K.,Shakshuka,Regular,Brunch,Food - Brunch,BRN-004,,1,19.00,19.00,0.00,19.00,2.28,,0.00,,4.75
2026-02-01 10:09:54,5B17B041F3E548248E,Payment,Main Dining,Priya K.,Glass — Pinot Gris (BC),Regular,Drinks - Wine,Beverage - Wine,WN-001,,1,16.00,20.00,0.00,20.00,2.40,Extra Prawns (+$4.00),4.00,,4.80
2026-02-01 10:09:54,5B17B041F3E548248E,Payment,Main Dining,Priya K.,Shakshuka,Regular,Brunch,Food - Brunch,BRN-004,,1,19.00,21.00,0.00,21.00,2.52,Gluten-Free Pasta (+$2.00),2.00,,4.75
2026-02-01 10:09:54,5B17B041F3E548248E,Payment,Main Dining,Priya K.,Bottle — House Red,Regular,Drinks - Wine,Beverage - Wine,WN-006,,1,60.00,60.00,0.00,60.00,7.20,,0.00,,18.00
2026-02-01 10:09:54,5B17B041F3E548248E,Payment,Main Dining,Priya K.,Brioche French Toast,Regular,Brunch,Food - Brunch,BRN-003,,1,20.00,20.00,0.00,20.00,2.40,,0.00,,5.00
2026-02-01 10:09:54,5B17B041F3E548248E,Payment,Main Dining,Priya K.,Old Fashioned,Regular,Drinks - Cocktails,Beverage - Cocktails,CK-004,,1,19.00,19.00,0.00,19.00,2.28,,0.00,,5.70
2026-02-01 10:11:59,E90AF73B1CD54D6BB2,Payment,Main Dining,Leo C.,Eggs Benedict Pacific,Regular,Brunch,Food - Brunch,BRN-001,,1,24.00,24.00,0.00,24.00,2.88,,0.00,,7.20
2026-02-01 10:11:59,E90AF73B1CD54D6BB2,Payment,Main Dining,Leo C.,Glass — Chardonnay (Okanagan),Regular,Drinks - Wine,Beverage - Wine,WN-002,,1,18.00,18.00,0.00,18.00,2.16,,0.00,,5.40
2026-02-01 10:11:59,E90AF73B1CD54D6BB2,Payment,Main Dining,Leo C.,Shakshuka,Regular,Brunch,Food - Brunch,BRN-004,,1,19.00,19.00,0.00,19.00,2.28,,0.00,,4.75
2026-02-01 10:11:59,E90AF73B1CD54D6BB2,Payment,Main Dining,Leo C.,Steak & Eggs,Regular,Brunch,Food - Brunch,BRN-005,,1,28.00,28.00,0.00,28.00,3.36,,0.00,,11.20
2026-02-01 10:11:59,E90AF73B1CD54D6BB2,Payment,Main Dining,Leo C.,Coastal Negroni,Regular,Drinks - Cocktails,Beverage - Cocktails,CK-002,,1,18.00,18.00,0.00,18.00,2.16,Sub Side Salad (+$0.00),0.00,,4.50
2026-02-01 10:11:59,E90AF73B1CD54D6BB2,Payment,Main Dining,Leo C.,Brioche French Toast,Regular,Brunch,Food - Brunch,BRN-003,,1,20.00,24.00,0.00,24.00,2.88,Extra Prawns (+$4.00),4.00,,5.00
2026-02-01 10:16:13,F43AFAD37D9441B9BE,Payment,Main Dining,Emma W.,Eggs Benedict Pacific,Regular,Brunch,Food - Brunch,BRN-001,,1,24.00,24.00,0.00,24.00,2.88,,0.00,,7.20
2026-02-01 10:18:05,3755550613424632AC,Payment,Main Dining,James L.,Smoked Salmon Toast,Regular,Brunch,Food - Brunch,BRN-002,,1,22.00,22.00,0.00,22.00,2.64,,0.00,,7.70
2026-02-01 10:18:05,3755550613424632AC,Payment,Main Dining,James L.,Eggs Benedict Pacific,Regular,Brunch,Food - Brunch,BRN-001,,1,24.00,24.00,0.00,24.00,2.88,,0.00,,7.20
2026-02-01 10:18:05,3755550613424632AC,Payment,Main Dining,James L.,Espresso,Regular,Drinks - Non-Alc,Beverage - Non-Alc,NA-003,,1,5.00,5.00,0.00,5.00,0.60,,0.00,,0.75
2026-02-01 10:18:05,3755550613424632AC,Payment,Main Dining,James L.,Eggs Benedict Pacific,Regular,Brunch,Food - Brunch,BRN-001,,1,24.00,27.00,0.00,27.00,3.24,Add Truffle Oil (+$3.00),3.00,,7.20
2026-02-01 10:18:05,3755550613424632AC,Payment,Main Dining,James L.,Bottle — House White,Regular,Drinks - Wine,Beverage - Wine,WN-005,,1,55.00,55.00,0.00,55.00,6.60,,0.00,,16.50
2026-02-01 10:18:05,3755550613424632AC,Payment,Main Dining,James L.,Eggs Benedict Pacific,Regular,Brunch,Food - Brunch,BRN-001,,1,24.00,24.00,0.00,24.00,2.88,,0.00,,7.20
2026-02-01 10:18:05,3755550613424632AC,Payment,Main Dining,James L.,Coastal Negroni,Regular,Drinks - Cocktails,Beverage - Cocktails,CK-002,,1,18.00,18.00,0.00,18.00,2.16,,0.00,,4.50
2026-02-01 10:18:26,AAD9C11C7B8A4EB4A6,Payment,Main Dining,Marcus T.,Eggs Benedict Pacific,Regular,Brunch,Food - Brunch,BRN-001,,1,24.00,24.00,0.00,24.00,2.88,,0.00,,7.20
2026-02-01 10:18:26,AAD9C11C7B8A4EB4A6,Payment,Main Dining,Marcus T.,Shakshuka,Regular,Brunch,Food - Brunch,BRN-004,,1,19.00,21.00,0.00,21.00,2.52,Gluten-Free Pasta (+$2.00),2.00,,4.75
