Platform,Order_ID,Order_Date,Order_Status,Dining_Mode,Gross_Sales,Tax,GST,PST,Tip,Commission_Amount,Commission_Rate,Marketing_Fee,Promo_Cost_Restaurant,Promo_Cost_Platform,Service_Fee,Adjustments,Net_Payout,Payout_Date,Item_Count,Customer_Type,Prep_Time_Minutes,Delivery_Time_Minutes,Customer_Rating,POS_Transaction_ID
DoorDash,DD-89645320,2026-02-01 12:43:09,Completed,Delivery,32.00,3.84,1.60,2.24,5.00,-8.00,0.25,0.00,0.00,0.00,-1.00,0.00,23.00,2026-02-04,1,Returning,12.3,33.6,4.0,
Uber Eats,UE-83466766,2026-02-01 14:59:24,Completed,Delivery,88.00,10.56,4.40,6.16,5.00,-26.40,0.30,0.00,0.00,0.00,0.00,0.00,61.60,2026-02-04,3,Returning,15.3,24.8,4.5,
Uber Eats,UE-79926318,2026-02-01 15:22:19,Completed,Delivery,75.00,9.00,3.75,5.25,0.00,-22.50,0.30,-1.49,0.00,0.00,0.00,0.00,51.01,2026-02-04,2,Returning,10.7,20.1,4.0,
Uber Eats,UE-42606461,2026-02-01 16:42:50,Completed,Delivery,86.00,10.32,4.30,6.02,3.00,-25.80,0.30,-1.49,-3.00,2.00,-0.50,0.00,57.21,2026-02-05,3,Returning,11.2,39.4,4.0,
Uber Eats,UE-69395515,2026-02-01 16:44:00,Completed,Delivery,105.00,12.60,5.25,7.35,6.00,-31.50,0.30,0.00,0.00,0.00,-1.50,0.00,72.00,2026-02-04,3,Returning,21.5,24.9,4.0,
Uber Eats,UE-41315414,2026-02-01 17:34:30,Completed,Delivery,73.00,8.76,3.65,5.11,3.00,-21.90,0.30,-0.99,0.00,0.00,-1.50,0.00,48.61,2026-02-06,2,Returning,21.1,23.3,5.0,
DoorDash,DD-30729648,2026-02-01 17:41:20,Completed,Delivery,66.00,7.92,3.30,4.62,5.00,-16.50,0.25,0.00,0.00,0.00,0.00,0.00,49.50,2026-02-05,3,New,12.3,37.4,4.5,
Uber Eats,UE-35150726,2026-02-01 17:55:04,Completed,Delivery,41.00,4.92,2.05,2.87,8.00,-12.30,0.30,-1.49,-7.00,2.00,-1.00,0.00,21.21,2026-02-08,1,Returning,21.1,35.9,4.5,
Uber Eats,UE-26579300,2026-02-01 18:17:00,Completed,Delivery,86.00,10.32,4.30,6.02,7.00,-25.80,0.30,0.00,0.00,0.00,-1.00,0.00,59.20,2026-02-04,3,New,20.3,34.5,4.5,
Uber Eats,UE-38560125,2026-02-01 18:30:35,Completed,Delivery,56.00,6.72,2.80,3.92,5.00,-16.80,0.30,-0.99,-5.00,1.00,-1.50,0.00,32.71,2026-02-06,2,Returning,21.2,42.3,4.5,
DoorDash,DD-94760356,2026-02-01 18:37:11,Completed,Delivery,37.00,4.44,1.85,2.59,5.00,-9.25,0.25,-1.49,0.00,0.00,-0.50,0.00,25.76,2026-02-04,2,New,13.5,20.6,5.0,
DoorDash,DD-21589281,2026-02-01 18:41:22,Completed,Delivery,39.00,4.68,1.95,2.73,6.00,-9.75,0.25,0.00,0.00,0.00,0.00,0.00,29.25,2026-02-05,2,Returning,11.5,40.0,4.5,
Uber Eats,UE-96374873,2026-02-01 18:58:41,Completed,Delivery,90.00,10.80,4.50,6.30,0.00,-27.00,0.30,-1.49,0.00,0.00,-0.50,0.00,61.01,2026-02-06,3,New,19.2,40.1,4.5,
Uber Eats,UE-33731220,2026-02-01 18:59:46,Completed,Delivery,27.00,3.24,1.35,1.89,5.00,-8.10,0.30,0.00,-3.00,2.00,-0.50,0.00,17.40,2026-02-06,1,Returning,8.3,40.5,5.0,
Uber Eats,UE-57039522,2026-02-01 19:25:13,Completed,Delivery,121.00,14.52,6.05,8.47,7.00,-36.30,0.30,0.00,0.00,0.00,-1.50,0.00,83.20,2026-02-05,4,New,8.4,20.1,4.5,
DoorDash,DD-28457790,2026-02-01 20:18:57,Completed,Delivery,96.00,11.52,4.80,6.72,8.00,-24.00,0.25,-0.99,0.00,0.00,-1.50,0.00,69.51,2026-02-05,3,New,10.7,19.6,4.5,
DoorDash,DD-64698213,2026-02-01 21:48:58,Completed,Delivery,148.00,17.76,7.40,10.36,3.00,-37.00,0.25,-0.99,0.00,0.00,0.00,0.00,110.01,2026-02-06,4,Returning,8.1,19.3,5.0,
DoorDash,DD-11329605,2026-02-02 12:44:48,Completed,Delivery,83.00,9.96,4.15,5.81,8.00,-20.75,0.25,-1.99,0.00,0.00,-1.00,0.00,59.26,2026-02-09,3,Returning,18.1,24.5,5.0,
Uber Eats,UE-19340071,2026-02-02 13:43:03,Completed,Delivery,94.00,11.28,4.70,6.58,7.00,-28.20,0.30,-1.99,0.00,0.00,-1.00,0.00,62.81,2026-02-06,4,Returning,16.4,43.5,3.5,
Uber Eats,UE-37080904,2026-02-02 13:45:12,Completed,Delivery,99.00,11.88,4.95,6.93,7.00,-29.70,0.30,0.00,0.00,0.00,-1.00,0.00,68.30,2026-02-09,3,Returning,9.4,26.2,5.0,
Uber Eats,UE-38930504,2026-02-02 14:33:17,Completed,Delivery,110.00,13.20,5.50,7.70,10.00,-33.00,0.30,0.00,0.00,0.00,-0.50,0.00,76.50,2026-02-09,3,New,21.6,32.7,5.0,
DoorDash,DD-69466865,2026-02-02 15:45:07,Completed,Delivery,18.00,2.16,0.90,1.26,3.00,-4.50,0.25,0.00,0.00,0.00,-1.00,0.00,12.50,2026-02-06,1,Returning,21.3,41.7,3.0,
Uber Eats,UE-25350292,2026-02-02 16:35:17,Completed,Delivery,104.00,12.48,5.20,7.28,4.00,-31.20,0.30,-1.49,0.00,0.00,0.00,0.00,71.31,2026-02-06,3,Returning,13.7,40.0,4.5,
DoorDash,DD-53260440,2026-02-02 16:44:51,Completed,Delivery,150.00,18.00,7.50,10.50,3.00,-37.50,0.25,-1.99,0.00,0.00,-0.50,0.00,110.01,2026-02-07,4,Returning,21.0,31.3,4.5,
DoorDash,DD-92444660,2026-02-02 17:59:25,Completed,Delivery,79.00,9.48,3.95,5.53,5.00,-19.75,0.25,-1.99,0.00,0.00,-1.00,0.00,56.26,2026-02-09,2,Returning,12.9,23.1,4.5,
