Bill_Number,Order_Number,Date,Time,Waiter,Section,Table,Seats,Order_Type,Menu_Item,Menu_Category,Sales_Category,Quantity,Price,Gross_Sales,Discount_Name,Discount_Amount,Net_Sales,Modifiers,Modifier_Amount,Tax_1_Name,Tax_1_Amount,Tax_2_Name,Tax_2_Amount,Total_Tax,Tip,Auto_Gratuity,Payment_Method,Is_Void,Is_Return,Notes
1001,1001,2026-03-01,12:53:47,Jake T.,Cash Register,,1,Takeout,Buttermilk Pancakes,Brunch,Food,1,18.00,18.00,,0.00,18.00,,0.00,GST,0.90,PST,0.00,0.90,0.00,0.00,Mastercard,No,No,
1001,1001,2026-03-01,12:53:47,Jake T.,Cash Register,,1,Takeout,Smoked Salmon Bagel,Brunch,Food,1,21.00,21.00,,0.00,21.00,,0.00,GST,1.05,PST,0.00,1.05,0.00,0.00,Mastercard,No,No,
1001,1001,2026-03-01,12:53:47,Jake T.,Cash Register,,1,Takeout,Coastal Spritz,Cocktails,Alcohol,1,16.00,16.00,,0.00,16.00,,0.00,GST,0.80,PST,1.60,2.40,0.00,0.00,Mastercard,No,No,
1002,1002,2026-03-01,13:14:51,Emma W.,Patio,26,2,Dine-In,Avocado Toast,Brunch,Food,1,19.00,19.00,,0.00,19.00,,0.00,GST,0.95,PST,0.00,0.95,0.00,0.00,Amex,No,No,
1002,1002,2026-03-01,13:14:51,Emma W.,Patio,26,2,Dine-In,Shakshuka,Brunch,Food,1,19.00,19.00,,0.00,19.00,,0.00,GST,0.95,PST,0.00,0.95,0.00,0.00,Amex,No,No,
1002,1002,2026-03-01,13:14:51,Emma W.,Patio,26,2,Dine-In,Buttermilk Pancakes,Brunch,Food,1,18.00,18.00,,0.00,18.00,,0.00,GST,0.90,PST,0.00,0.90,0.00,0.00,Amex,No,No,
1002,1002,2026-03-01,13:14:51,Emma W.,Patio,26,2,Dine-In,Pilsner (draft),Beer,Alcohol,1,9.00,9.00,,0.00,9.00,,0.00,GST,0.45,PST,0.90,1.35,10.20,0.00,Amex,No,No,
1003,1003,2026-03-01,12:49:14,Emma W.,Cash Register,,1,Takeout,Burrata & Heirloom Tomato,Appetizers,Food,1,19.00,19.00,,0.00,19.00,,0.00,GST,0.95,PST,0.00,0.95,0.00,0.00,Cash,No,No,
1003,1003,2026-03-01,12:49:14,Emma W.,Cash Register,,1,Takeout,Shakshuka,Brunch,Food,1,19.00,19.00,,0.00,19.00,,0.00,GST,0.95,PST,0.00,0.95,0.00,0.00,Cash,No,No,
1003,1003,2026-03-01,12:49:14,Emma W.,Cash Register,,1,Takeout,Local IPA (draft),Beer,Alcohol,1,10.00,10.00,,0.00,10.00,,0.00,GST,0.50,PST,1.00,1.50,5.00,0.00,Cash,No,No,
1004,1004,2026-03-01,10:41:29,Sarah M.,Bar,30,2,Dine-In,West Coast Oysters (6pc),Appetizers,Food,1,24.00,24.00,,0.00,24.00,,0.00,GST,1.20,PST,0.00,1.20,0.00,0.00,Visa,No,No,
1004,1004,2026-03-01,10:41:29,Sarah M.,Bar,30,2,Dine-In,Eggs Benedict Pacific,Brunch,Food,1,24.00,24.00,,0.00,24.00,,0.00,GST,1.20,PST,0.00,1.20,0.00,0.00,Visa,No,No,
1004,1004,2026-03-01,10:41:29,Sarah M.,Bar,30,2,Dine-In,Kombucha,Non-Alcoholic,Non-Alcoholic,1,7.00,7.00,,0.00,7.00,,0.00,GST,0.35,PST,0.00,0.35,0.00,0.00,Visa,No,No,
1004,1004,2026-03-01,10:41:29,Sarah M.,Bar,30,2,Dine-In,Buttermilk Pancakes,Brunch,Food,1,18.00,18.00,,0.00,18.00,,0.00,GST,0.90,PST,0.00,0.90,0.00,0.00,Visa,No,No,
1004,1004,2026-03-01,10:41:29,Sarah M.,Bar,30,2,Dine-In,Espresso,Non-Alcoholic,Non-Alcoholic,1,5.00,5.00,,0.00,5.00,,0.00,GST,0.25,PST,0.00,0.25,14.52,0.00,Visa,No,No,
1005,1005,2026-03-01,10:35:32,Emma W.,Main Dining,4,2,Dine-In,Avocado Toast,Brunch,Food,1,19.00,19.00,,0.00,19.00,,0.00,GST,0.95,PST,0.00,0.95,0.00,0.00,Interac Debit,No,No,
1005,1005,2026-03-01,10:35:32,Emma W.,Main Dining,4,2,Dine-In,Smoked Salmon Bagel,Brunch,Food,1,21.00,21.00,,0.00,21.00,,0.00,GST,1.05,PST,0.00,1.05,0.00,0.00,Interac Debit,No,No,
1005,1005,2026-03-01,10:35:32,Emma W.,Main Dining,4,2,Dine-In,Eggs Benedict Pacific,Brunch,Food,1,24.00,24.00,,0.00,24.00,,0.00,GST,1.20,PST,0.00,1.20,0.00,0.00,Interac Debit,No,No,
1005,1005,2026-03-01,10:35:32,Emma W.,Main Dining,4,2,Dine-In,Eggs Benedict Pacific,Brunch,Food,1,24.00,25.50,,0.00,25.50,Extra Sauce (+$1.50),1.50,GST,1.28,PST,0.00,1.28,0.00,0.00,Interac Debit,No,No,
1005,1005,2026-03-01,10:35:32,Emma W.,Main Dining,4,2,Dine-In,Fresh Juice,Non-Alcoholic,Non-Alcoholic,1,8.00,8.00,,0.00,8.00,,0.00,GST,0.40,PST,0.00,0.40,17.19,0.00,Interac Debit,No,No,
1006,1006,2026-03-01,12:08:48,Jake T.,Main Dining,10,4,Dine-In,Shakshuka,Brunch,Food,1,19.00,19.00,,0.00,19.00,,0.00,GST,0.95,PST,0.00,0.95,0.00,0.00,Mastercard,No,No,
1006,1006,2026-03-01,12:08:48,Jake T.,Main Dining,10,4,Dine-In,Smoked Salmon Bagel,Brunch,Food,1,21.00,21.00,,0.00,21.00,,0.00,GST,1.05,PST,0.00,1.05,0.00,0.00,Mastercard,No,No,
1006,1006,2026-03-01,12:08:48,Jake T.,Main Dining,10,4,Dine-In,Eggs Benedict Pacific,Brunch,Food,1,24.00,24.00,,0.00,24.00,,0.00,GST,1.20,PST,0.00,1.20,0.00,0.00,Mastercard,No,No,
1006,1006,2026-03-01,12:08:48,Jake T.,Main Dining,10,4,Dine-In,Shakshuka,Brunch,Food,1,19.00,19.00,,0.00,19.00,,0.00,GST,0.95,PST,0.00,0.95,0.00,0.00,Mastercard,No,No,
1006,1006,2026-03-01,12:08:48,Jake T.,Main Dining,10,4,Dine-In,Old Fashioned,Cocktails,Alcohol,1,18.00,18.00,,0.00,18.00,,0.00,GST,0.90,PST,1.80,2.70,0.00,0.00,Mastercard,No,No,
1006,1006,2026-03-01,12:08:48,Jake T.,Main Dining,10,4,Dine-In,Cappuccino,Non-Alcoholic,Non-Alcoholic,1,6.50,6.50,,0.00,6.50,,0.00,GST,0.33,PST,0.00,0.33,26.49,0.00,Mastercard,No,No,
1007,1007,2026-03-01,13:57:34,Emma W.,Cash Register,,2,Takeout,West Coast Oysters (6pc),Appetizers,Food,1,24.00,24.00,Happy Hour 20%,-4.80,19.20,,0.00,GST,0.96,PST,0.00,0.96,0.00,0.00,Interac Debit,No,No,
1007,1007,2026-03-01,13:57:34,Emma W.,Cash Register,,2,Takeout,Smoked Salmon Bagel,Brunch,Food,1,21.00,21.00,Happy Hour 20%,-4.20,16.80,,0.00,GST,0.84,PST,0.00,0.84,0.00,0.00,Interac Debit,No,No,
1007,1007,2026-03-01,13:57:34,Emma W.,Cash Register,,2,Takeout,Old Fashioned,Cocktails,Alcohol,1,18.00,18.00,Happy Hour 20%,-3.60,14.40,,0.00,GST,0.72,PST,1.44,2.16,0.00,0.00,Interac Debit,No,No,
1007,1007,2026-03-01,13:57:34,Emma W.,Cash Register,,2,Takeout,West Coast Oysters (6pc),Appetizers,Food,1,24.00,24.00,Happy Hour 20%,-4.80,19.20,,0.00,GST,0.96,PST,0.00,0.96,0.00,0.00,Interac Debit,No,No,
1007,1007,2026-03-01,13:57:34,Emma W.,Cash Register,,2,Takeout,Smoked Salmon Bagel,Brunch,Food,1,21.00,21.00,Happy Hour 20%,-4.20,16.80,,0.00,GST,0.84,PST,0.00,0.84,0.00,0.00,Interac Debit,No,No,
1007,1007,2026-03-01,13:57:34,Emma W.,Cash Register,,2,Takeout,Old Fashioned,Cocktails,Alcohol,1,18.00,18.00,Happy Hour 20%,-3.60,14.40,,0.00,GST,0.72,PST,1.44,2.16,0.00,0.00,Interac Debit,No,No,
1008,1008,2026-03-01,13:45:36,Emma W.,Main Dining,16,4,Dine-In,Buttermilk Pancakes,Brunch,Food,1,18.00,20.00,,0.00,20.00,Sub Caesar Salad (+$2.00),2.00,GST,1.00,PST,0.00,1.00,0.00,0.00,Visa,No,No,
1008,1008,2026-03-01,13:45:36,Emma W.,Main Dining,16,4,Dine-In,Glass — Sauvignon Blanc (NZ),Wine,Alcohol,1,17.00,17.00,,0.00,17.00,,0.00,GST,0.85,PST,1.70,2.55,0.00,0.00,Visa,No,No,
1008,1008,2026-03-01,13:45:36,Emma W.,Main Dining,16,4,Dine-In,Pilsner (draft),Beer,Alcohol,1,9.00,9.00,,0.00,9.00,,0.00,GST,0.45,PST,0.90,1.35,0.00,0.00,Visa,No,No,
1008,1008,2026-03-01,13:45:36,Emma W.,Main Dining,16,4,Dine-In,Eggs Benedict Pacific,Brunch,Food,1,24.00,24.00,,0.00,24.00,,0.00,GST,1.20,PST,0.00,1.20,0.00,0.00,Visa,No,No,
1008,1008,2026-03-01,13:45:36,Emma W.,Main Dining,16,4,Dine-In,Coastal Spritz,Cocktails,Alcohol,1,16.00,16.00,,0.00,16.00,,0.00,GST,0.80,PST,1.60,2.40,0.00,0.00,Visa,No,No,
1008,1008,2026-03-01,13:45:36,Emma W.,Main Dining,16,4,Dine-In,Shakshuka,Brunch,Food,1,19.00,19.00,,0.00,19.00,,0.00,GST,0.95,PST,0.00,0.95,0.00,0.00,Visa,No,No,
1008,1008,2026-03-01,13:45:36,Emma W.,Main Dining,16,4,Dine-In,Shakshuka,Brunch,Food,1,19.00,19.00,,0.00,19.00,,0.00,GST,0.95,PST,0.00,0.95,0.00,0.00,Visa,No,No,
1008,1008,2026-03-01,13:45:36,Emma W.,Main Dining,16,4,Dine-In,Glass — Pinot Noir (BC),Wine,Alcohol,1,19.00,19.00,,0.00,19.00,,0.00,GST,0.95,PST,1.90,2.85,27.18,0.00,Visa,No,No,
1009,1009,2026-03-01,10:15:10,Maya C.,Patio,25,4,Dine-In,Smoked Salmon Bagel,Brunch,Food,1,21.00,21.00,,0.00,21.00,,0.00,GST,1.05,PST,0.00,1.05,0.00,0.00,Visa,No,No,
1009,1009,2026-03-01,10:15:10,Maya C.,Patio,25,4,Dine-In,Cappuccino,Non-Alcoholic,Non-Alcoholic,1,6.50,6.50,,0.00,6.50,,0.00,GST,0.33,PST,0.00,0.33,0.00,0.00,Visa,No,No,
1009,1009,2026-03-01,10:15:10,Maya C.,Patio,25,4,Dine-In,Smoked Salmon Bagel,Brunch,Food,1,21.00,21.00,,0.00,21.00,,0.00,GST,1.05,PST,0.00,1.05,0.00,0.00,Visa,No,No,
1009,1009,2026-03-01,10:15:10,Maya C.,Patio,25,4,Dine-In,Eggs Benedict Pacific,Brunch,Food,1,24.00,24.00,,0.00,24.00,,0.00,GST,1.20,PST,0.00,1.20,0.00,0.00,Visa,No,No,
1009,1009,2026-03-01,10:15:10,Maya C.,Patio,25,4,Dine-In,Fresh Juice,Non-Alcoholic,Non-Alcoholic,1,8.00,8.00,,0.00,8.00,,0.00,GST,0.40,PST,0.00,0.40,0.00,0.00,Visa,No,No,
1009,1009,2026-03-01,10:15:10,Maya C.,Patio,25,4,Dine-In,West Coast Oysters (6pc),Appetizers,Food,1,24.00,24.00,,0.00,24.00,,0.00,GST,1.20,PST,0.00,1.20,0.00,0.00,Visa,No,No,
1009,1009,2026-03-01,10:15:10,Maya C.,Patio,25,4,Dine-In,Smoked Salmon Bagel,Brunch,Food,1,21.00,21.00,,0.00,21.00,,0.00,GST,1.05,PST,0.00,1.05,0.00,0.00,Visa,No,No,
1009,1009,2026-03-01,10:15:10,Maya C.,Patio,25,4,Dine-In,Sparkling Water (750ml),Non-Alcoholic,Non-Alcoholic,1,7.00,7.00,,0.00,7.00,,0.00,GST,0.35,PST,0.00,0.35,0.00,0.00,Visa,No,No,
1009,1009,2026-03-01,10:15:10,Maya C.,Patio,25,4,Dine-In,Avocado Toast,Brunch,Food,1,19.00,19.00,,0.00,19.00,,0.00,GST,0.95,PST,0.00,0.95,0.00,0.00,Visa,No,No,
1009,1009,2026-03-01,10:15:10,Maya C.,Patio,25,4,Dine-In,Eggs Benedict Pacific,Brunch,Food,1,24.00,24.00,,0.00,24.00,,0.00,GST,1.20,PST,0.00,1.20,0.00,0.00,Visa,No,No,
1009,1009,2026-03-01,10:15:10,Maya C.,Patio,25,4,Dine-In,Old Fashioned,Cocktails,Alcohol,1,18.00,18.00,,0.00,18.00,,0.00,GST,0.90,PST,1.80,2.70,34.83,0.00,Visa,No,No,
1010,1010,2026-03-01,11:20:59,Sarah M.,Cash Register,,1,Takeout,Coastal Spritz,Cocktails,Alcohol,1,16.00,16.00,,0.00,16.00,,0.00,GST,0.80,PST,1.60,2.40,0.59,0.00,Mastercard,No,No,
1011,1011,2026-03-01,11:12:10,Jake T.,Bar,31,2,Dine-In,Eggs Benedict Pacific,Brunch,Food,1,24.00,24.00,,0.00,24.00,,0.00,GST,1.20,PST,0.00,1.20,0.00,0.00,Visa,No,No,
1011,1011,2026-03-01,11:12:10,Jake T.,Bar,31,2,Dine-In,Avocado Toast,Brunch,Food,1,19.00,19.00,,0.00,19.00,,0.00,GST,0.95,PST,0.00,0.95,0.00,0.00,Visa,No,No,
1011,1011,2026-03-01,11:12:10,Jake T.,Bar,31,2,Dine-In,Smoked Salmon Bagel,Brunch,Food,1,21.00,21.00,,0.00,21.00,,0.00,GST,1.05,PST,0.00,1.05,0.00,0.00,Visa,No,No,
1011,1011,2026-03-01,11:12:10,Jake T.,Bar,31,2,Dine-In,Paloma,Cocktails,Alcohol,1,16.00,16.00,,0.00,16.00,,0.00,GST,0.80,PST,1.60,2.40,19.24,0.00,Visa,No,No,
1012,1012,2026-03-01,13:36:03,David L.,Patio,25,2,Dine-In,Buttermilk Pancakes,Brunch,Food,1,18.00,18.00,,0.00,18.00,,0.00,GST,0.90,PST,0.00,0.90,0.00,0.00,Interac Debit,No,No,
1012,1012,2026-03-01,13:36:03,David L.,Patio,25,2,Dine-In,Craft Lager (bottle),Beer,Alcohol,1,9.00,9.00,,0.00,9.00,,0.00,GST,0.45,PST,0.90,1.35,0.00,0.00,Interac Debit,No,No,
1012,1012,2026-03-01,13:36:03,David L.,Patio,25,2,Dine-In,Avocado Toast,Brunch,Food,1,19.00,19.00,,0.00,19.00,,0.00,GST,0.95,PST,0.00,0.95,0.00,0.00,Interac Debit,No,No,
1012,1012,2026-03-01,13:36:03,David L.,Patio,25,2,Dine-In,Local IPA (draft),Beer,Alcohol,1,10.00,10.00,,0.00,10.00,,0.00,GST,0.50,PST,1.00,1.50,13.22,0.00,Interac Debit,No,No,
